"","datetime","city","country","shape"
"6023",1999-10-30,"la grande (10 miles east of)","us","rectangle"
"28748",2004-02-01,"los angeles","us","triangle"
"58612",1973-06-30,"salinas (uruguay)","","sphere"
"811",2004-10-01,"richmond","us","triangle"
"73464",1978-08-15,"cape cod","","other"
"60693",2013-06-09,"west hartford","us","light"
"60992",2011-07-10,"ocean beach (fire island)","us","light"
"60993",2011-07-10,"wolf point","us","light"
"19320",2005-12-01,"tuscola","us","light"
"16373",2000-01-15,"kelowna (canada)","ca","circle"
"21919",2012-01-22,"johnson city","us","circle"
"60104",1998-06-07,"watertown","us","circle"
"75397",2003-08-20,"dallas","us","diamond"
"63183",1997-07-15,"prince george (canada)","ca","fireball"
"25689",2001-01-27,"glendale heights","us","light"
"52705",1990-06-01,"colorado springs (south of&#44 on hwy 115 near the co. line)","us","other"
"4321",2011-10-22,"madison heights","us","oval"
"44351",1998-04-03,"fairfax (gmu campus)","us","oval"
"11156",1977-11-17,"bensalem","us","sphere"
"87800",2004-09-05,"bainbridge island","","sphere"
"11438",1995-11-18,"seattle","us",""
"76677",2001-08-24,"natick","us","oval"
"5995",1976-10-30,"dallas","us","disk"
"22654",2000-12-25,"tlaltenango (mexico)","","light"
"55491",2006-06-18,"minneapolis","us","sphere"
"36412",2014-03-21,"kirkland","us","circle"
"86179",2010-09-26,"gatineau (canada)","ca","oval"
"26489",2008-01-29,"tilton","us","formation"
"27866",NA,"dallas","us",""
"31160",2007-02-22,"columbus (north of)","us","fireball"
"42947",2008-04-23,"newtown","us","fireball"
"86766",2003-09-29,"tres pinos","us","flash"
"11852",2009-11-19,"mesa","us","light"
"17619",2014-01-17,"santa ana","us","light"
"21758",2004-12-02,"carrollton","us","light"
"27416",2003-01-05,"navarre beach","","light"
"36797",2002-03-23,"thomasville","us","light"
"55121",2011-06-16,"redding","us","light"
"62483",1997-07-14,"philadelphia","us","oval"
"67352",2006-07-29,"salem-portland","","oval"
"84156",1990-09-20,"newburgh","us","triangle"
"30797",2011-02-21,"avon lake","us","unknown"
"52286",1974-06-01,"manistee","us","unknown"
"4736",2006-10-24,"rugby warks (uk/england)","","light"
"1252",2010-10-12,"boston","us","disk"
"52246",1973-06-01,"lahti (finland)","","fireball"
"24104",2012-12-31,"fort myers","us","formation"
"33361",2000-02-09,"columbia","us","unknown"
"4395",1995-10-23,"johnson city","us",""
"77532",2006-08-27,"rasnov (romania)","","cigar"
"11498",2001-11-18,"west grove","us","circle"
"50114",2001-05-31,"patagonia","us","circle"
"60850",2004-07-10,"piedmont","us","circle"
"77879",2011-08-28,"tonawanda","us","circle"
"39936",1966-04-01,"danang (50 miles from) (viet nam)","","disk"
"28148",2000-01-09,"las vegas blvd.","","light"
"37203",2009-03-25,"canmore (canada)","ca","light"
"37241",2013-03-25,"cape coral","us","light"
"66769",2000-07-27,"redmond","us","light"
"86647",2012-09-28,"victoria (canada)","ca","light"
"61774",2010-07-01,"cedarbug","","other"
"62362",2011-07-13,"columbus","us","other"
"64132",2012-07-17,"north dayton","us","other"
"64301",2007-07-18,"gloucester","us","other"
"6590",2011-10-31,"dover","us","triangle"
"12440",2011-01-01,"milmont park","","triangle"
"65204",2011-07-21,"st. augustine","us","triangle"
"76515",2007-08-23,"gig harbor","us","triangle"
"81170",1971-09-01,"buffalo","us","triangle"
"38491",2006-03-04,"coventry (uk/england)","gb","cross"
"6082",2005-10-30,"indianapolis","us","cylinder"
"68350",2013-07-03,"eugene","us","flash"
"43287",2002-04-25,"flagstaff (near; over us 40)","","other"
"42571",2010-04-02,"santa ana","us","triangle"
